trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.81666432514182,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.20825436038112,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-118.96418270470049,"{0: 20, 1: 4, 2: 10, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.1320341740422,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.0178776400992,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.39332608134112,"{0: 10, 1: 3, 2: 9, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.23030768941025,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.63420095223067,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.06774315080493,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-215.29195083294704,"{0: 14, 1: 3, 2: 10, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.47292091968143,"{0: 20, 1: 0, 2: 7, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.24820318881925,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.48934804899116,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.64913996564746,"{0: 10, 1: 7, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.07397227887998,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.87953878901034,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-221.7452228001957,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,7,-58.27724658595946,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.8251766186117,"{0: 10, 1: 7, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.04872134856768,"{0: 8, 1: 2, 2: 10, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.21904369102327,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-23.770131707272075,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.746825845273147,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.52542055179094,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.3041901417314,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-244.26239399458422,"{0: 9, 1: 1, 2: 11, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.99746882128466,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-62.955727741353286,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-174.7645485598425,"{0: 19, 1: 2, 2: 12, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,4,-223.725343022789,"{0: 14, 1: 4, 2: 8, 3: 3, 4: 2}",1
